bird_id,colony_id,colony_name,country,flyway,breeding_lat,breeding_lon,years_tracked,tag_type,data_source
TR_PIR_043,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_044,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_045,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_046,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_047,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_048,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_049,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_050,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_051,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_052,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_053,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_054,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_055,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_056,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_057,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_058,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_059,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_060,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_061,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
